"id_pessoa";"idade_pessoa";"salario_ano_pessoa";"propriedade_pessoa";"anos_trabalhados_pessoa";"id_emprestimo";"motivo_emprestimo";"pontuacao_emprestimo";"valor_emprestimo";"taxa_juros_emprestimo";"status_inadimplencia";"percentual_emprestimo_salario";"id_historico";"verifica_inadimplencia";"tempo_primeira_solicitacao"
"F9a6bBd9-Xe2o";27;68000;"Aluguel";4.0;"8HuvzhAq-k7Xi";"Melhora_do_lar";"A";8700;7.88;0;0.13;"L42AQtMx-SEGR";"N";5
"RSQpYv0W-D6Oo";24;12600;"Aluguel";2.0;"PDpdl2hQ-Sszr";"Empreendimento";"C";2500;13.11;1;0.2;"oZ2iPvfD-HdIo";"Y";2
"bRYeof0L-cqHI";30;100000;"Aluguel";13.0;"0T2YFLWb-IZze";"Pagamento_debitos";"A";12000;7.88;0;0.12;"0Y1a64ag-4RLW";"N";9
"d0YRlkdZ-nuLT";28;83000;"Hipoteca";6.0;"xzTEiD3e-BbFZ";"Pagamento_debitos";"B";5000;0.0;0;0.06;"Z5LA433k-5vqf";"N";9
"njGBnugm-85Dv";30;110400;"Aluguel";1.0;"QKDlpIm7-sqMC";"Empreendimento";"D";14000;16.89;1;0.13;"ObEkaKZr-9MDa";"N";6
"ZZ41xYZt-oZch";31;26988;"Aluguel";0.0;"txgCHDym-TG6Q";"Empreendimento";"A";5800;6.62;0;0.21;"fHIsaQH4-ELgM";"N";9
"GN6ytQnE-DzMK";24;117996;"Hipoteca";6.0;"WbeWEny4-1t34";"Empreendimento";"E";18000;17.04;0;0.15;"mMtKwh3x-cEpY";"Y";3
"Rb8k12Zq-S58b";27;24000;"Aluguel";2.0;"L88dgHTW-gh06";"Medico";"A";1450;0.0;0;0.06;"JyLwW0Ov-t1oB";"N";9
"TccooMuS-9WMJ";21;21600;"Aluguel";0.0;"R3iJsWIz-nEQ2";"Pagamento_debitos";"A";6700;6.92;1;0.31;"tgWAqObp-d8sA";"N";4
"hUTCf2mg-Lsiq";21;26400;"Aluguel";0.0;"X1iMYKFZ-Y9vt";"Pessoal";"D";7000;14.84;1;0.27;"CzgF8dqS-nkOH";"Y";3
"LcyCTCWU-5pJX";25;39000;"Aluguel";9.0;"8H01XPY1-Yoqw";"Empreendimento";"D";15200;16.0;1;0.39;"RCktzCz7-PpKe";"N";3
"85qS4tWk-EAun";23;54000;"Hipoteca";2.0;"doFKaqOW-2siR";"Empreendimento";"A";7000;6.62;0;0.13;"PYFqvd7K-eScC";"N";3
"vbwEfJTD-LdID";35;52000;"Aluguel";2.0;"6ABpkht2-SdCN";"Medico";"B";3000;11.48;0;0.06;"CE0NeKdg-IICE";"N";7
"3Fn6Bsv2-lENb";22;42996;"Aluguel";2.0;"eWgmMLkK-ZBt8";"Pagamento_debitos";"C";14400;0.0;1;0.33;"En3WPrh1-l38m";"Y";4
"HAFuBdEH-Yz9T";26;90000;"Hipoteca";10.0;"n6C3YGKX-qbuJ";"Pessoal";"B";13000;10.59;0;0.14;"oL7WaW3B-6rLQ";"N";3
"MBg8Sndd-NSF5";22;66300;"Aluguel";3.0;"6S9XmOX6-BFnY";"Medico";"D";7500;14.96;1;0.1;"dcP6KL1I-J2o0";"N";2
"hRO9kOL5-Y29L";26;65000;"Hipoteca";11.0;"qBv7Ad3u-unNs";"Empreendimento";"A";12000;7.9;0;0.18;"J7M98CyW-tebW";"N";2
"BmqWi2a8-MCqb";26;120000;"Hipoteca";10.0;"YE9jXKCy-Y7Ak";"Melhora_do_lar";"D";10000;14.59;0;0.08;"Q1xlxgUf-O9M7";"Y";2
"3L0l89vv-iB5t";25;76700;"Hipoteca";1.0;"aFkFYEds-CRiY";"Empreendimento";"E";14800;19.42;0;0.19;"CeAteCEb-UAPy";"Y";4
"Sivpiuku-g8iM";26;105000;"Hipoteca";6.0;"69aK4mIg-vOE8";"Pagamento_debitos";"B";12000;11.99;0;0.11;"sif9RvXi-ePND";"N";2
"ymCxqYGx-Effb";24;101000;"Hipoteca";3.0;"hNq9wGDA-A1wJ";"Educativo";"A";7000;0.0;1;0.07;"rrcGO8hf-EkDy";"N";4
"noSvkcI9-CZvw";24;35364;"Aluguel";1.0;"81hQhevO-NCOK";"Medico";"B";20000;12.53;1;0.57;"0ltmMNcA-4JDc";"N";4
"mpfjpS76-GpMH";23;80000;"Aluguel";6.0;"U3GtqMpT-D0SF";"Empreendimento";"A";6500;7.51;0;0.08;"lusooYZf-PCbH";"N";3
